Accessories,Body Color,Body Material,Body Type,Brand,Bundle Description,Color,Condition,Country of Manufacture,Country/Region of Manufacture,Custom Bundle,Dexterity,Features,Fingerboard,Hand,Items Included,MPN,Model,Model Year,Modification Description,Modified Item,Neck,Non-Domestic Product,Pickup,Product Line,Product Type,Right-/ Left-Handed,Serial Number,Series,Size,Soundboard Style,String Configuration,Style,Type,UPC,serial number,Price
,Sunburst,Maple,,Fender,,,Used,,United States,,,,,,,Does Not Apply,Telecaster American Deluxe,2011,,,,,,Fender Telecaster,,Right-Handed,,,,,6 String,,,,,870.0
,Multicolor,,,PRS,,,Used,,,,,,,,,,,,,,,,,,,Right-Handed,,,,,6 String,,,,,550.0
,,,,Yamaha Guitars,,,New,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,86792958514,,149.99
,,,Semi-Hollow,Ovation,,,Used,,,,,,,,,Does Not Apply,1632-4,,,,,,,,,Right-Handed,,Matrix,,,6 String,,,Does not apply,,199.99
,,,,Gibson,,,Used,,,,,,,,,Does Not Apply,,2016,,,,,,Gibson Les Paul,,,,,,,6 String,,,Does not apply,,600.0
,,,,Taylor,,,Used,,Mexico,,,,,,,Does Not Apply,214ce,,,No,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,799.0
,Gloss Black Finish,,Solid,Danelectro,,,New,,"Korea, Republic of",No,,,,,,801128527444,D59+ NOS,2019,,No,,No,,,,Right-Handed,,,,,6 String,,,Does not apply,,299.0
,Black,,Solid,Gibson,,,Used,,United States,,,,,,,,Custom,1988,,,,,,Gibson Les Paul Custom Lite 1988,,Right-Handed,,,,Archtop,6 String,,,,,1995.0
,,Maple,Solid,Unbranded,,,New,,,,,,,,,,,,,,,,,,,Right-Handed,,,,,6 String,,,,,125.0
,Beige,,Solid,G&L,,,Used,,United States,,,,,,,,ASAT Special,2001,,,,,,ASAT,,Right-Handed,,,Full Size,,6 String,,,,,736.0
,Natural,Solid Wood,Solid,Gibson,,,Used,,United States,,Right-Handed,,,,Case,Does Not Apply,Chet Atkins CEC,1982,,,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,2199.99
,,,Jazz,Richie's Guitar Shop,,,Used,,,,,"Volume Knob, With Pickup",,,,,Custom,,,,,,,,,,,,,Archtop,6 String,,,,,1600.0
,Brown,Mahogany,sg,Gibson,,,Used,,,,,,,,,,SG Special,2003,,,,,,Gibson SG,,,,,,,6 String,,,,,480.0
,,,,Esteban,,,Used,,,,,,,,,Does Not Apply,c100,,,,,,,,,,,Classic,,,6 String,,,,,61.0
,,,,Epiphone by Gibson,,,,,,,,,,,,Does Not Apply,SG Special,,,,,,,Gibson SG,,,,,,,6 String,,,,,69.99
,,,,Dean,,,Used,,,,,,,,,,Custom,,,,,,,,,,,,,,6 String,,,,,1495.0
,Brown,,,EASTMAN,,,Used,,,,,,,,,Does Not Apply,,,,,,,,,,Left-Handed,,,,,6 String,,Electric Guitar,Does not apply,,500.0
,Surf Green,Alder,Solid,G&L,,,Used,,United States,,,,,,,,Legacy,2018,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,705.0
,Aztec Gold,Alder,Solid,Fender,,,New,,United States,,,,,,,0110112878,Stratocaster 50's Reissue,2018,,,,,,American Original,,Right-Handed,,,,,6 String,,,Does not apply,,980.0
,Red,Mahogany,Dreadnought,Alvarez,,,Used,,Japan,,,,,,,,Dove,1977,,,,,,,,Right-Handed,,,,Flat Top,6 String,,,,,775.0
,Black,,Solid,Fender,,,New,,,No,,,,,,,American Telecaster 2000,2000,,No,,,,American Standard,,Right-Handed,,,Full Size,,6 String,,,,,800.0
,Blue,,,Gibson,,,Used,,,,,,,,,,first edition robot,2007,,,,,,Gibson Les Paul,,,,,,,6 String,,,,,990.0
,,Spruce,Jumbo,Taylor,,,Used,,United States,,,"Taylor Expressions System, With Pickup",,,,,315ce,2002,,No,,,,,,Right-Handed,,,,,6 String,,,,,999.0
,Brown,,,Gibson,,,Used,,United States,,,,,,,,EXPLORER,2018,,,,,,Studio,,Left-Handed,,,,,6 String,,,,,1299.99
,,,Hollow,Godin,,,Used,,,,,With Pickup,,,,,Arena QIT,,,,,,,,,Right-Handed,,,,,6 String  Nylon,,,,,305.0
,Green,,,Godin,,,Used,,Canada,,,,,,,,,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,,,1389.95
,Blue,,,Jackson,,,Used,,,,,,,,,,Vintage,,,,,,,,,Right-Handed,,,,,6 String,,,,,334.99
,Blue,,,Fender,,,Used,,Mexico,,,,,,,,Stratocaster,1991,,No,,,,Fender Stratocaster,,Left-Handed,,,,,6 String,,,,,345.0
,Red,,,Maestro by Gibson,,,Used,,,,Right-Handed,Cutaway,,,,,Double Cutaway (SG Style),,,,,,,Gibson SG,,Right-Handed,,,,,6 String,,,,,100.0
,blue,,SOLID,SQUIRE by FENDER,,,Used,,Indonesia,,,,,,,CS11120464,STRATOCASTER,2011,,,,,,Fender Stratocaster,,Right-Handed,,,,Flat Top,6 String,,,,,280.0
,Butterscotch Blonde,Ash,Solid,Fender,,,Used,,United States,No,,,,,,Does Not Apply,Vintage,,,No,,,,Fender Telecaster,,Right-Handed,,,,,6 String,,,Does not apply,,1099.0
,2-TONE SUNBURST,,Solid,G&L,,,Used,,United States,,,"Volume Knob, With Pickup",,,,,LEGACY,,,,,,,Legacy Stratocaster,,Right-Handed,,,,,6 String,,,,,725.0
,White,,Solid,Mosrite,,,Used,,,,,,,,,Does Not Apply,,,,,,,,,,Right-Handed,,,,,6 String,,,,,2300.0
,Blue,,,Dean,,,Used,,,,,,,,,,,,,,,,,Dean ML,,,,,,,6 String,,,,,344.0
,Red,,Solid,G&L,,,Used,,United States,,,,,,,,,2006,,,,,,,,Right-Handed,,,Full Size,,6 String,,,,,860.0
,Tobaccoburst,Solid Wood,Solid,Fender,,,Used,,United States,,Right-Handed,,,,,,Stratocaster,1983,,,,,,,,,,,,,6 String,,,,,675.0
,Black,,,GIBSON MUSICAL INSTRUMENTS,,,Used,,,,,,,,,Does Not Apply,FIREBIRD ZERO,,,,,,,,,,,,,,6 String,,,Does not apply,,449.85
,fire glo,,,Rickenbacker,,,Used,,United States,No,Right-Handed,,,,,Does Not Apply,330,,,No,,No,,,,,,,,,6 String,,,,,1500.0
,Aged Brooklyn Burst,,Hollow,Gretsch,,,Used,,,,,,,,,Does Not Apply,Streamliner G420,,,,,,,Gretsch Streamliner,,,,,,,6 String,,,Does not apply,,250.0
,Brown,,Solid,Gibson,,,New,,United States,,,,,,,Does Not Apply,Les Paul Studio,2018,,,,,,Gibson Les Paul,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,699.99
,White,,Solid,Fender,,,Used,,,,,,,,,,Fender Bullet,1981-1982,,,,,,Fender Telecaster,,Right-Handed,,,Full Size,,6 String,,,,,500.0
,Yellow,Solid Wood,Solid,Gibson/Epiphone,,,Used,,China,,Right-Handed,,,,,Mellow Yellow,Les Paul,,,,,,,,,,,,,,6 String,Les Paul Special,,Does not apply,,199.99
,Multi color,,Solid,,,,Used,,China,,,,,,,Does Not Apply,,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,149.0
,,,,Fender,,,Used,,Mexico,,Right-Handed,,,,,,,1996,,,,,,,,,,,,,6 String,,,Does not apply,,171.47
,,,,Fender,,,Used,,Mexico,No,,"Volume Knob, With Pickup",,,,Does Not Apply,Stratocaster,1996,,,,,,Fender Stratocaster,,Right-Handed,,,Full Size,Flat Top,6 String,,,,,299.99
,Red,,Solid,Gibson,,,New,,United States,,,,,,,,SG,2019,,,,,,Gibson SG,,Right-Handed,,,,,6 String,,,,,890.0
,PEARL WHITE METALLIC W/ 3-PLY PARCHMENT PICKGUARD,Basswood,SOLID BODY STRATOCASTER,SQUIER,,,New,,Indonesia,No,,,,,,Does Not Apply,DELUXE STRATOCASTER,2011,,No,,,,,,Right-Handed,,SQUIER DELUXE SERIES,,,6 String,STRATOCASTER,,Does not apply,,399.0
,Brown/Gray Flame,Mahogany,Solid,Gibson,,,Used,,United States,No,,,,,,Does Not Apply,Signature T,2013,,No,,,,Gibson Les Paul,,Right-Handed,,,Full Size,Archtop,6 String,,,Does not apply,,1299.99
,Three Tone Sunburst,Alder,Solid,SX,Guitar and Case,,Used,,China,Yes,,,,,,,Vintage SX SST57 Three Tone Sunburst,,,No,,,,,,Right-Handed,,,Full Size,Flat Top,6 String,,,,,120.0
,,,,MARTIN GUITAR,,,Used,,,,,,,,,Does Not Apply,SWG STINGER,,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,170.99
,natural,Ash,Solid,RavenWestGuitar,,,,,,No,,,,,,999,RM999,2005,,No,,,,,,Left-Handed,,,Full Size,,6 String,,,Does not apply,,100.0
,Green,Alder,,Gibson,,,Used,,United States,,,"Volume Knob, With Pickup",,,,Does Not Apply,Fusuion,2017,,,,,,Gibson,,Right-Handed,,,,,6 String,,,,,399.0
,,Mahogany,Solid,Gibson,,,,,United States,,,,,,,DSFS18VSCH1,,2007,,No,,,,Studio,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,355.0
,,,,Unbranded,,,New,,,,Right-Handed,,,,,Does Not Apply,,,,,,,,,,,,,,,6 String,,,Does not apply,,55.89
,"Black, Blue, Pink",Hardwood,,Segawe,,,New,,,,,,,,,ALT-Y01-120,"30"" & 39""",,,,,,,,,,,,,,6 String,,,,,68.89
,,,,Alvarez,,,New,,,,,,,,,ABT610EBK,,,,,,,,,,,,,,,,,,812309026090,,399.99
,,,,Monoprice,,,Used,,,,,,,,,610700,,,,,,,,,,,,,,,,,,Does not apply,,149.99
,Multi-Color,,,Peavey Blowout,,,New,,,,Right-Handed,,,,,3019710,PEV14-3019710,,,,,,,,,,,,,,6 String,,,014367625325,,99.99
,,,,Epiphone,,,Used,,,,,,,,,ENA2AANH3,,,,,,,,,,,,,,,,,,Does Not Apply,,382.0
,White,Basswood,,Uenjoy,,,New,,,No,,With bag,,,,6010100400PM,Classic,,,,,,,,,Right-Handed,,,"37""",,6 String,,,619960975589,,72.9
,Dark Red,,Solid,Gibson,,,Used,,United States,,,,,,,117740336,SG Standard,2015,,No,,,,Gibson SG,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,1000.0
,,Poplar,Solidbody,Ibanez,,,New,,China,,Right-Handed,,,,,GRGA120WH,,,,,,,,,,,,,,,,,,Does Not Apply,,285.7
,Olympic White,,Solid,Squier by Fender,,,New,,,,,,,,,0370327505,"Contemporary Strat, Reverse Headstock, 2 Humbucker",2018,,,,,,Contemporary Active,,Right-Handed,,,Full Size,Flat Top,6 String,,,Does not apply,,399.99
,,Mahogany,Concert Body,Oscar Schmidt,,"USA American Flag Top Graphic, Black",New,,China,,Right-Handed,,,,,OG10CEFLAG,Special Edition American Flag Graphic Guitar,,,,,,,,,,,OG10CE,,,6 String,,,801128248066,,249.99
,Red Wine,,Solid,Firefly,,,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or 

																			protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,,,,,,,,Does Not Apply,FFDCD,2019,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,199.0
,Blue Sparkle and White Edge,,,Danelectro,,,Used,,"Korea, Republic of",,,With Pickup,,,,,Hodad,,,,,,,Danelectro,,Right-Handed,,,,,6 String,,,,,350.0
,Red,,Semi-Hollow,D'Angelico,,,Used,,,,Right-Handed,,,,,Does Not Apply,,,,,,,,,,Right-Handed,,,,,6 String,,,does not apply,,699.0
,Black,,,Fender,,,Used,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,6 String,,Electric Guitar,Does not apply,,128.24
,,,,Squier by Fender,,,Used,,,,,,,,,,Affinity Series Telecaster,,,,,,,,,Left-Handed,,,,,6 String,,,Does not apply,,179.99
,See Thru Black Sunburst,,Solid,ESP,,,New,,Japan,,Right-Handed,,,,,EIIHORNTIISTBLKSB,Horizon NT-II,,,,,,,,,,,,,,6 String,,,does not apply,,1799.0
,Black/Silver,Solid Wood,Solid,Dean,,,New,,,,Right-Handed,,,,,Does Not Apply,Dimebag,,,,,,,,,,,,,,6 String,Razorbolt,,Does not apply,,760.45
,Beige,,Semi-Hollow,Rick Turner,,,Used,,United States,,,,,,,,,,,,,,,,,Right-Handed,,,,Flat Top,6 String,,,,,1500.0
,Multi color,,Solid,,,,Used,,China,,,,,,,Does Not Apply,,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,149.0
,,,Semi-Hollow,MICHAEL KELLY GUITAR,,,Used,,,,,,,,,Does Not Apply,HYBRID SPECIAL,,,,,,,,,Right-Handed,,,,,6 String,,,,,500.0
,Black,SOLID WOOD,Solid,BUNKER,,,Used,,United States,,,,,,,,Vintage,1970s,,,,,,BUNKER,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,800.0
,Black,,Solid,First Act,,,Used,,,,,,,,,,,,,,,,,,,Right-Handed,,,,,6 String,,,,,26.99
,Red,,Solid,Gibson,,,New,,United States,,,,,,,,SG,2019,,,,,,Gibson SG,,Right-Handed,,,,,6 String,,,,,890.0
,Baby Blue,,Solid,Hagstrom,,,Used,,Sweden,No,,With Pickup,,,,,,1962,,No,,No,,,,Right-Handed,,,,,6 String,,,,,925.0
,,Mahogany,Dreadnought,Dean,,,New,,,,,With Pickup,,,,Performer PE,,,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,125.0
,,,,,,,Used,,,,,,,,,,,,,,,,,,,,,,,,,,,885978648870,,924.99
,,Maple,,Fender,,,Used,,,,,,,,,,Stratocaster,1978,,,,,,Fender Stratocaster,,Left-Handed,,,,,6 String,,,,,410.0
,Surf Green,Alder,Solid,G&L,,,Used,,United States,,,,,,,,Legacy,2018,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,705.0
,Black,,Solid,Ernie Ball,,,Used,,China,,,,,,,,,,,No,,,,OLP,,Right-Handed,,,Full Size,,6 String,,,,,69.0
,Black,"Mahogany, Rosewood",Solid,ESP,,,Used,,Indonesia,,,,,,,,Flying V,2011,,,,,,ESP LTD,,Right-Handed,,,Full Size,Flat Top,6 String,,,,,243.0
,Red,,,Westone,,,Used,,,,,,,,,,Vintage,,,,,,,,,Right-Handed,,,,,6 String,,,,,139.0
,,"Mahogany, Maple",Semi-Hollow,PRS,,,Used,,,,,,,,,,Custom 22,,,,,,,,,Right-Handed,,,,Flat Top,6 String,,,,,495.0
,,Rosewood,,Breedlove,,,Used,,United States,No,Right-Handed,,,,,,,,,No,,No,,,,Right-Handed,,,,,6 String,,,,,1499.99
,Black,"Mahogany, Maple",Solid,PRS,,,Used,,United States,,,,,,,,Custom,2014,,No,,,,PRS Custom 24,,Right-Handed,,,Full Size,,6 String,,,,,2590.0
,Butterscotch Blonde,Ash,Solid,Fender,,,Used,,Mexico,,,Single Cut,,,,,Telecaster,2019,,No,,,,Fender Telecaster,,Right-Handed,,,,,6 String,,,,,199.0
,Black,,,Samick,,,Used,,"Korea, Republic of",,,,,,,CD2,GREG BENNETT,2004,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,180.0
,Black,,,Jackson,,,Used,,China,,,,,,,Does Not Apply,,2017,,,,,,,,,,,,,6 String,,,Does not apply,,250.0
,Black with White Bevels,,,Jackson,,,New,,Indonesia,,Right-Handed,,,,,Does Not Apply,Marty Friedman Monarkh,,,,,,,,,,,,,,6 String,,,Does not apply,,699.99
,Red,,,Traveler Guitar,,,Used,,,,,,,,,S234156,Speedster,,,,,,,,,,,,,,6 String,,,Does not apply,,199.0
,Yellow,,Solid,YAMAHA,,,Used,,,,Right-Handed,,,,,Does Not Apply,RGZ,1990's,,,,,,,,,,,,Flat Top,6 String,,,,,220.0
,White,,Solid,Ibanez,,,Used,,China,,,With Pickup,,,,,Custom,,,,,,,Ibanez JEM,,Right-Handed,,,,,6 String,,,,,400.0
,Black,,Solid,Jackson,,,Used,,,No,Right-Handed,,,,,,Randy Rhoads,,,No,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,200.0
,,,,Rickenbacker,,,,,,,,,,,,,Custom,,,,,,,,,,,,,,12 String,,,,,2995.0
,sonic blue,Alder,Solid,Fender,,,Used,,Mexico,,,,,,,Does Not Apply,Stratocaster Classic Player,2006,,,,,,Fender Stratocaster,,Right-Handed,,,,,6 String,,,,,900.0
,White,Mahogany,Solid,Firefly,,,,,,,,,,,,Does Not Apply,,2019,,,,,,,,Right-Handed,,,Full Size,,6 String,,,Does not apply,,45.0
,Black,,Solid,JW Van,,,Used,,United States,,,,,,,,,2016,,,,,,,,Right-Handed,,,,,6 String,,,,,925.0
,Red,Mahogany,sg,Gibson,,,Used,,,,,,,,,,SG Special,2004,,,,,,Gibson SG,,Right-Handed,,,,,6 String,,,,,455.0
,,,,Samick,,,Used,,,,,,,,,,,,,,,,,,,,,,,,6 String,,,,,211.65
,Black,,,Dean,,,Used,,,,,,,,,Does Not Apply,Vendetta,,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,69.95
,,,Semi-Hollow,Epiphone,,,Used,,,,,,,,,,Classic,2007,,,,,,,,,,,,,6 String,,,,,700.0
,,Wood,Hollow,Keith Urban,,Copper,New,,,No,,,,,,Does Not Apply,Ripcord,2017,,No,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,159.96
,Red,Maple,Semi-Hollow,Gretsch,,,Used,,,,,,,,,,,,,,,,,Gretsch Streamliner,,Right-Handed,,,Full Size,Flat Top,6 String,,,,,425.0
,,,Solid,Davison Guitars,,,New,,,,Right-Handed,,,,,DELUXE GUITAR PACK RIGHT HANDED,DELUXE GUITAR PACK RIGHT HANDED,,,,,,,,,,,,,,6 String,,,,,98.95
,desert sand,,Solid,Fender,,,Used,,United States,,,,,,,,Musicmaster,1956,,,,,,,,Right-Handed,,,,,6 String,,,,,2100.0
,Blue,Mahogany,Semi-Hollow,firefly,,,Used,,,,,,,,,Does Not Apply,FFTH,2019,,,,,,,,Right-Handed,,,,,6 String,,,,,250.0
,Black,Alder,Solid,Fender,,,Used,,United States,,,,,,,Does Not Apply,American Vintage '62 Jazzmaster,2000s,,,,,,Fender Jazzmaster,,Right-Handed,,,,,6 String,,,Does not apply,,2099.99
,,"Alder, Maple",Telecaster,Samick,,,Used,,,,,,,,,,Custom,,,,,,,,,Right-Handed,,,,,6 String,,,,,399.0
,Black,Agathis,Solid,Fender,,,,,China,,,"Split Tone, 7-way Switching, Treble Bleed",,,,Does Not Apply,2000 CAE Squier Strat,2000,Major upgrades. Please read full description.,Yes,,,,Squier,,Right-Handed,,,Full Size,Flat Top,6 String,,,Does not apply,,229.0
,Aged Satin Black,Mahogany,Solid,Schecter,,,Used,,,,,"Volume Knob, With Pickup",,,,W17011495,Diamond Series Solo-II Custom,2017,,,,,,Schecter Diamond Series,,Right-Handed,,,,Archtop,6 String,,,Does not apply,,360.0
,Black,,,Casio,,,Used,,,,Right-Handed,,,,,Does Not Apply,DG-10,,,No,,,,,,Right-Handed,,,,,6 String,,,,,290.0
,Amber,Solid Wood,Solid,Hamiltone,,,,,,,Right-Handed,,,,,Does Not Apply,,,,,,,,,,,,,,,6 String,,,Does not apply,,1999.0
,Red,,Semi-Hollow,Hofner,,,New,China,China,,Right-Handed,,,,,HCT-VTH-R,VERYTHIN,RECENT,,,,,,Contemporary,,Right-Handed,,,Full Size,Archtop,6 String,ES,,4250358600278,,399.9
,,,,Jameson Guitars,,Pink,Used,,,,Right-Handed,,,,,DRN979CTV PNK 2ND,DRN979CTV PNK 2ND,,,,,,,,,,,,,,6 String,,,Does not apply,,30.4
,Blue,Maple,Solid,Squier,,,Used,,,,,,,,,1273888000835,20th Anniversary,,,,,,,,,,,,,,6 String,,,Does not apply,,118.7
,,,,Jameson Guitars,,Blue,Used,,,,Right-Handed,,,,,DRN979CTV NAT DK 2ND,DRN979CTV NAT DK 2ND,,,,,,,,,,,,,,6 String,,,Does not apply,,38.62
,Red,,Solid,Gibson,,,Used,,United States,,,,,,,Does Not Apply,SG Standard,2017,,,,,,Gibson SG,,Right-Handed,,,,,6 String,,,Does not apply,,630.0
,Sunburst,,Semi-Hollow,Polaris,,,Used,,Japan,No,Right-Handed,"Volume Knob, With Pickup",,,,Does not apply,Semi-Hollow Electric Guitar,1960s,,No,,,,Polaris,,Right-Handed,,,Full Size,Carved,6 String,,,Does not apply,,249.95
,,,,Jameson Guitars,,Black,Used,,,,Left Handed,With Pickup,,,,DRN979CTV LH BK 2ND,DRN979CTV LH BK 2ND,,,,,,,,,Left-Handed,,,,,6 String,,,Does not apply,,31.61
,,,,G-Sharp Guitars,,,New,,,,Right-Handed,,,,,,OF-1,,,,,,,,,,,,,,6 String,,Electric,,,375.0
,,,,Ibanez,,,New,,,,,,,,,RG450EXBPP,,,,,,,,,,,,,,,,,,Does not apply,,399.99
,Natural,mahogany,Dreadnought,Fender,"Fender CD-60SCE-12 Solid Top Dreadnought Acoustic-Electric Guitar, 12 String - Natural Bundle with Hard Case, Cable, Tuner, Strap, Strings, Picks, Austin Bazaar Instructional DVD, and Polishing Cloth",,New,,,Yes,Right-Handed,,,,,0961707021-COMBO-PRO,0961707021-COMBO-PRO,,,No,,,,,,Right,,,Full Size,,6 String,,Dreadnought,660845714922,,339.99
,,,,Unbranded,,,New,,China,,,,,,,Does Not Apply,,,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,85.32
,"Black, Blue, Pink",Hardwood,,Segawe,,,New,,,,,,,,,GSD-Y01-120,"30"" & 39""",,,,,,,,,,,,,,6 String,,,,,85.98
,Lake Placid Blue,Alder,Solid,Fender,,,New,,Mexico,,,,,,,Does Not Apply,Tenor Tele,2019,,,,,,Fender Telecaster,,Right-Handed,,,,,6 String,,,Does not apply,,499.99
,Black,,,Dean Guitars,,,Used,,,,,,,,,VX,VX,,,,,,,,,Right-Handed,,,,,6 String,,,,,189.99
,Translucent Crimson Red,"Alder, Maple",Solid,Carvin/Kiesel,,,Used,,,,,,,,,ST300C,ST300,2015,,,,,,,,Right-Handed,,,,,6 String,,,,,650.0
,Brown,Solid Wood,Solid,Fender,,,Used,,United States,,Right-Handed,,,,,652446,Stratocaster Walnut,1975,,,,,passive,Fender Stratocaster,,Right-Handed,,,,,6 String,,,Does not apply,,2499.99
,,,,Hamer,,,Used,,Monaco,,,,,,,,,2002,,,,,,,,Right-Handed,,,,,6 String,,,,,1327.34
,,,,Jay Turser,,,Used,,China,,,,,,,Does Not Apply,JT-Sparkle-PSP,,,,,,,,,Left-Handed,,,,,6 String,,,,,189.99
,Black,Maple,Solid,Ibanez,,,Used,,,,,With Pickup,,,,,series s520ex,,,,,,,,,Right-Handed,,,,,6 String,,,,,174.5
,Lake Placid Blue,Alder,Solid,Fender,,,New,,United States,,,"Tremolo, Gig Bag",,,,0114930302,American Performer Stratocaster,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,885978355426,,898.0
,Black/Red,,,Jackson,,,Used,,China,,,,,,,Does Not Apply,Flying V,,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,124.07
,Oly White,,Solid,Fender,,,Used,,United States,,,,,,,Does Not Apply,,1983-84,,,,,,Fender Stratocaster,,,,,,,6 String,,,Does not apply,,795.0
,Black,,,Epiphone,,,Used,,,,,,,,,,,,,,,,,Epiphone Les Paul,,,,,,,7 String,,,,,460.0
,Cobalt Blue,,,B.C. Rich,,,Used,,,,,,,,,Mockingbird Standard,Mockingbird Standard,2012,,,,,,,,Right-Handed,,,,,6 String,,,Does not apply,,1601.0
,,,,Schecter,,,Used,,,,,,,,,,,,,,,,,,,,,,,,7 String,,,,,263.0
,White,,,Unbranded,,,Used,,,,,,,,,,,,,,,,,,,Right-Handed,,,,,6 String,,,,,125.0
,,,,Epiphone,,,"For parts or not working: An item that does not function as intended and is not fully operational. This includes items that 

																			are defective in ways that render them difficult to use, items that require service or repair, or items missing essential components. See the seller’s listing for full details.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,,,,,,,,,Coronet,,,,,,,,,Right-Handed,,,,,6 String,,,,,203.5
,Black,,,Epiphone,,,Used,,,,,,,,,,,,,,,,,Epiphone Les Paul,,,,,,,7 String,,,,,460.0
,Cadillac Green,,Solid,Hofner,,,New,,China,,Right-Handed,,,,Gig Bag,HCT-SH-GR,Shorty Travel Guitar,,,,,,,,,Right-Handed,,,TRAVEL,,6 String,,,Does not apply,,119.99
,Gold,,,Dean,,,Used,,,,,,,,,,,2006,,,,,,,,Right-Handed,,,,,6 String,,,,,249.99
,Gold,,Solid,Epiphone,,,Used,,China,,,,,,,,Les Paul Standard,2012,,,,,,Epiphone Les Paul,,Right-Handed,,,,,6 String,,,,,330.0
,Trans Black,Mahogany,Solid,Charvel,,,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or 

																			protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.
																					See all condition definitions- opens in a new window or tab



																			... Read moreabout the condition",,,No,,,,,,,,,,No,,,,Charvel,,Right-Handed,,,Full Size,,6 String,,,,,375.0
,Black,,,Ernie Ball,,,Used,,,,,,,,,,Luke,2011,,,,,,,,Right-Handed,,,,,6 String,,,,,1225.0
,Blue,,Solid,Epiphone,,,Used,,,,,,,,,,,,,,,,,Epiphone Les Paul Standard PlusTop Pro,,Right-Handed,,,,,6 String,,,,,369.0
,,Walnut,Solid,Mitchell,,,Used,,,No,,,,,,MS100,MS100,2018,,No,,,,,,Right-Handed,,,22.5 Scale,,6 String,,,Does not apply,,32.56
,burst,Mahogany,Solid,green,,,Used,,,,,,,,,,Les Paul,2019,,,,,,LP,,Right-Handed,,,Standard,,6 String,,,Does not apply,,175.0
,,,Solid,Unbranded,,,,,,,,,,,,,,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,,,89.0
,White,,Solid,First Act,,,Used,,,,,,,,,Does Not Apply,Garage Master VW,,,,,,,,,Right-Handed,,,Full Size,,6 String,,,,,200.0
,Brown,,Solid,Gibson,,,Used,,,,,,,,,,SG Faded,2008,,No,,,,Gibson SG,,Right-Handed,,,,,6 String,,,,,520.0
,White,,Solid,Alamo,,,Used,,United States,,,,,,,,Vintage,,,No,,,,Fiesta,,Right-Handed,,,,,6 String,,,,,499.0
,Blonde,,Solid,Fender,,,Used,,,,,,,,,,Stratocaster,,,,,,,,,Right-Handed,,,,,6 String,,,,,460.0
,green burst,,Solid,DEAN ZELENSKY,,,Used,,,,,tremolo,,,,,tagliare,2017,,,,,,tagliare dean zelensky,,,,,Full Size,,6 String,,,Does not apply,,400.0
,Black,,Solid,Gibson,,,Used,,,,,,,,,,Flying V,1992,,,,,,,,Right-Handed,,,,,6 String,,,,,800.0
,,Maple,Hollow,DeArmond,,,Used,,,,,,,,,Does Not Apply,X-135,,,,,,,,,,,,,,6 String,,,Does not apply,,399.0
,Red,,,Peavey,,,Used,,,,,,,,,,Vintage T-15,,,,,,,,,,,,,,6 String,,,,,310.0
,Torino Red,,Solid,Fender,,,Used,,Mexico,Yes,,,,,,Does Not Apply,Stratocaster HSS,2007,,Yes,,,,Fender Stratocaster,,Right-Handed,,,,,6 String,,,,,350.0
,,,,Fender,,,Used,,United States,,,,,,,Does Not Apply,,2011,,,,,,Fender Stratocaster,,,,,,,6 String,,,Does not apply,,700.0
,Black,,Solid,Epiphone,,,Used,,Unknown,,Right-Handed,,,,,Does Not Apply,SG,2000's,,,,,,,,,,,,,6 String,,,Does not apply,,149.0
,Black Cherry,,Solid,Epiphone,,,Used,,,,,,,,,,,,,,,,,Epiphone Les Paul Standard PlusTop Pro,,Right-Handed,,,,,6 String,,,,,275.0
